iteration,train_loss,eval_train_loss,val_loss,train_perplexity,val_perplexity,learning_rate,time_ms,mfu_percent
4640,3.9234,,,,,,917.05,0.52
4650,4.1603,,,,,,907.43,0.53
4660,3.9721,,,,,,915.05,0.53
4670,4.1079,,,,,,917.46,0.53
4680,4.1246,,,,,,911.65,0.53
4690,4.1251,,,,,,922.63,0.53
4700,4.1042,,,,,,912.94,0.53
4710,4.1741,,,,,,904.6,0.53
4720,3.9739,,,,,,904.86,0.53
4730,4.0249,,,,,,907.86,0.53
4740,4.2179,,,,,,900.9,0.53
4750,4.0956,3.9761,4.0215,53.308724262468566,55.78472018062347,,58495.79,0.48
4760,3.9065,,,,,,913.17,0.49
4770,4.3096,,,,,,919.8,0.49
4780,4.1496,,,,,,904.12,0.5
4790,4.1371,,,,,,904.15,0.5
4800,4.1713,,,,,,915.07,0.5
4810,4.2316,,,,,,908.34,0.51
4820,4.1398,,,,,,909.09,0.51
4830,4.0974,,,,,,911.59,0.51
4840,4.062,,,,,,904.9,0.52
4850,4.1078,,,,,,910.44,0.52
4860,4.0621,,,,,,908.6,0.52
4870,3.9888,,,,,,893.89,0.52
4880,4.0972,,,,,,911.75,0.52
4890,4.2133,,,,,,909.6,0.53
4900,3.9434,,,,,,899.76,0.53
4910,4.1231,,,,,,914.69,0.53
4920,4.1253,,,,,,894.7,0.53
4930,4.1159,,,,,,905.26,0.53
4940,4.1888,,,,,,900.91,0.53
4950,4.0551,,,,,,913.49,0.53
4960,4.0162,,,,,,906.19,0.53
4970,3.9188,,,,,,916.42,0.53
4980,4.063,,,,,,904.91,0.53
4990,4.0108,,,,,,910.17,0.54
5000,4.0895,3.9834,4.0078,53.69930182319291,55.025680805837425,,58349.85,0.48
